API Endpoint Name,Column Name,DataType,Nullable,MaxLength,Scale,Annotations.NAV.LabelId,Annotations.NAV.NavType,Annotations.NAV.AllowEditOnCreate,Annotations.NAV.AllowEdit
Media,ID,Edm.Guid,FALSE,,,ID,NAV.NavType/Guid,TRUE,
Media,timestamp,Edm.Int64,,,,timestamp,NAV.NavType/Long,FALSE,FALSE
Media,Description,Edm.String,,250,,Description,NAV.NavType/String,,
Media,Content,Edm.Stream,,,,Content,NAV.NavType/Binary,,
Media,Mime_Type,Edm.String,,100,,Mime Type,NAV.NavType/String,,
Media,Height,Edm.Int32,,,,Height,NAV.NavType/Int,,
Media,Width,Edm.Int32,,,,Width,NAV.NavType/Int,,
Media,Company_Name,Edm.String,,30,,Company Name,NAV.NavType/String,,
Media,Expiration_Date,Edm.DateTimeOffset,,,,Expiration Date,NAV.NavType/DateTime,,
Media,Prohibit_Cache,Edm.Boolean,,,,Prohibit Cache,NAV.NavType/Bool,,
Media,File_Name,Edm.String,,250,,File Name,NAV.NavType/String,,
Media,Security_Token,Edm.String,,100,,Security Token,NAV.NavType/String,,
Media,Creating_User,Edm.String,,50,,Creating User,NAV.NavType/String,,
Media,SystemCreatedAt,Edm.DateTimeOffset,,,,Created At,NAV.NavType/DateTime,FALSE,FALSE
Media,SystemCreatedBy,Edm.Guid,,,,Created By,NAV.NavType/Guid,FALSE,FALSE
Media,SystemModifiedAt,Edm.DateTimeOffset,,,,Modified At,NAV.NavType/DateTime,FALSE,FALSE
Media,SystemModifiedBy,Edm.Guid,,,,Modified By,NAV.NavType/Guid,FALSE,FALSE
Company,Name,Edm.String,FALSE,30,,Name,NAV.NavType/String,TRUE,
Company,timestamp,Edm.Int64,,,,timestamp,NAV.NavType/Long,FALSE,FALSE
Company,Evaluation_Company,Edm.Boolean,,,,Evaluation Company,NAV.NavType/Bool,,
Company,Display_Name,Edm.String,,250,,Display Name,NAV.NavType/String,,
Company,Id,Edm.Guid,,,,Id,NAV.NavType/Guid,,
Company,Business_Profile_Id,Edm.String,,250,,Business Profile Id,NAV.NavType/String,,
Company,SystemCreatedAt,Edm.DateTimeOffset,,,,Created At,NAV.NavType/DateTime,FALSE,FALSE
Company,SystemCreatedBy,Edm.Guid,,,,Created By,NAV.NavType/Guid,FALSE,FALSE
Company,SystemModifiedAt,Edm.DateTimeOffset,,,,Modified At,NAV.NavType/DateTime,FALSE,FALSE
Company,SystemModifiedBy,Edm.Guid,,,,Modified By,NAV.NavType/Guid,FALSE,FALSE
Company,System_Indicator,Edm.String,,,,System_Indicator,NAV.NavType/String,FALSE,FALSE
Company,System_Indicator_Style,Edm.Int32,,,,System_Indicator_Style,NAV.NavType/Int,FALSE,FALSE
AccountantPortalActivityCues,Primary_Key,Edm.String,FALSE,10,,Primary Key,NAV.NavType/String,TRUE,
AccountantPortalActivityCues,OverduePurchInvoiceAmount,Edm.String,,,,OverduePurchInvoiceAmount,NAV.NavType/String,,
AccountantPortalActivityCues,OverduePurchInvoiceAmountDecimal,Edm.Decimal,,,Variable,OverduePurchInvoiceAmountDecimal,NAV.NavType/Real,,
AccountantPortalActivityCues,OverduePurchInvoiceStyle,Edm.String,,,,OverduePurchInvoiceStyle,NAV.NavType/String,,
AccountantPortalActivityCues,CurrencySymbol,Edm.String,,,,CurrencySymbol,NAV.NavType/String,,
AccountantPortalActivityCues,OverdueSalesInvoiceAmount,Edm.String,,,,OverdueSalesInvoiceAmount,NAV.NavType/String,,
AccountantPortalActivityCues,OverdueSalesInvoiceAmountDecimal,Edm.Decimal,,,Variable,OverdueSalesInvoiceAmountDecimal,NAV.NavType/Real,,
AccountantPortalActivityCues,OverdueSalesInvoiceStyle,Edm.String,,,,OverdueSalesInvoiceStyle,NAV.NavType/String,,
AccountantPortalActivityCues,NonAppliedPaymentsAmount,Edm.String,,,,NonAppliedPaymentsAmount,NAV.NavType/String,,
AccountantPortalActivityCues,NonAppliedPaymentsStyle,Edm.String,,,,NonAppliedPaymentsStyle,NAV.NavType/String,,
AccountantPortalActivityCues,PurchInvoicesDueNextWeekAmount,Edm.String,,,,PurchInvoicesDueNextWeekAmount,NAV.NavType/String,,
AccountantPortalActivityCues,PurchInvoicesDueNextWeekStyle,Edm.String,,,,PurchInvoicesDueNextWeekStyle,NAV.NavType/String,,
AccountantPortalActivityCues,SalesInvoicesDueNextWeekAmount,Edm.String,,,,SalesInvoicesDueNextWeekAmount,NAV.NavType/String,,
AccountantPortalActivityCues,SalesInvoicesDueNextWeekStyle,Edm.String,,,,SalesInvoicesDueNextWeekStyle,NAV.NavType/String,,
AccountantPortalActivityCues,OngoingPurchaseInvoicesAmount,Edm.String,,,,OngoingPurchaseInvoicesAmount,NAV.NavType/String,,
AccountantPortalActivityCues,OngoingPurchaseInvoicesStyle,Edm.String,,,,OngoingPurchaseInvoicesStyle,NAV.NavType/String,,
AccountantPortalActivityCues,OngoingSalesInvoicesAmount,Edm.String,,,,OngoingSalesInvoicesAmount,NAV.NavType/String,,
AccountantPortalActivityCues,OngoingSalesInvoicesStyle,Edm.String,,,,OngoingSalesInvoicesStyle,NAV.NavType/String,,
AccountantPortalActivityCues,SalesThisMonthAmount,Edm.String,,,,SalesThisMonthAmount,NAV.NavType/String,,
AccountantPortalActivityCues,SalesThisMonthStyle,Edm.String,,,,SalesThisMonthStyle,NAV.NavType/String,,
AccountantPortalActivityCues,Top10CustomerSalesYTDAmount,Edm.String,,,,Top10CustomerSalesYTDAmount,NAV.NavType/String,,
